id,name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
22376920,"Quiet, Cozy Room | Heart of Midtown! | Steps to UN",Manhattan,Midtown,40.75349,-73.96545,Private room,160,2,107,5.73,49
15462245,Authentic Bklyn location with Caribbean vibes,Brooklyn,Crown Heights,40.67141,-73.92643,Entire home/apt,90,30,0,0.0,0
30511873,Cozy studio middle of Manhattan/ close to Time sq.,Manhattan,Hell's Kitchen,40.75611,-73.99386,Entire home/apt,130,4,2,0.52,0
7034953,"Elegant 1BR, Private Bath in Brownstone",Brooklyn,Park Slope,40.6688,-73.97865,Private room,139,1,184,3.86,0
20674176,Nice  room midtown Manhattan 6rs,Manhattan,Hell's Kitchen,40.76506,-73.98567,Private room,70,3,6,0.41,225
25324289,Gotham City Rental 3,Manhattan,Hell's Kitchen,40.75925,-73.99375,Entire home/apt,225,1,63,4.83,357
8326753,Prime Location in Theatre District,Manhattan,Theater District,40.76095,-73.98668,Private room,150,2,3,0.08,0
34504929,Luxury Boutique Private  One-bedroom Apartment,Brooklyn,Bushwick,40.69414,-73.92477,Entire home/apt,98,2,7,3.33,4
21390251,Clean 2BR Park Slope Apt w/ Private Outdoor Space,Brooklyn,Gowanus,40.66933,-73.99158,Entire home/apt,125,3,70,3.38,99
21344739,Comfortable place/ close to Manhattan,Queens,Long Island City,40.75595,-73.93075,Private room,130,7,1,0.06,34
24397657,Brooklyn Townhouse Apartment in Trendy Bushwick.,Brooklyn,Bushwick,40.68865,-73.9081,Entire home/apt,145,4,40,2.8,38
3489095,Location Silma,Queens,Maspeth,40.74064,-73.89956,Private room,39,30,0,0.0,352
17558336,"""Borough Border Liner"" Diverse/Convenient/Private",Brooklyn,Bushwick,40.70537,-73.91587,Private room,47,1,17,0.97,0
32814024,7 train to visit New York City at your fingertips,Queens,Flushing,40.75747,-73.80868,Entire home/apt,450,4,0,0.0,365
2451438,Quiet & private room in luxury doorman bldg,Manhattan,Harlem,40.82349,-73.94193,Private room,80,3,3,0.05,178
13332001,Beautiful Room in Brooklyn Apartment,Brooklyn,Flatbush,40.64107,-73.95325,Private room,50,4,3,0.08,0
12897713,Chelsea Flat steps from Herald Sq,Manhattan,Chelsea,40.75041,-73.99489,Entire home/apt,300,1,2,0.05,0
1036498,☆☆New Discount☆☆ 10min to Manhattan,Queens,Astoria,40.75537,-73.91648,Private room,46,4,70,0.93,173
4830799,bright and clean! vintage style!,Brooklyn,Red Hook,40.67627,-74.00625,Private room,99,1,58,1.15,88
10827567,Renovated 1 bdrm apt close to city,Brooklyn,Crown Heights,40.6725,-73.93981,Entire home/apt,98,3,128,3.1,342
19960507,Huge Loft Space in Red Hook,Brooklyn,Red Hook,40.67798,-74.00787,Entire home/apt,145,1,11,0.49,333
6131606,Harmony House 2 on Madison Street,Brooklyn,Bedford-Stuyvesant,40.68875,-73.92377,Private room,38,2,39,0.86,99
10753780,Gorgeous Duplex in the Heart of BK,Brooklyn,Clinton Hill,40.6837,-73.96505,Entire home/apt,125,5,1,0.02,0
4536637,Kosher new studio close to subway,Brooklyn,Bensonhurst,40.61576,-73.99166,Private room,125,2,4,0.07,0
29340021,"Home to LGA airport near Manhattan, JFk, Astoria.",Queens,East Elmhurst,40.7698,-73.87183,Entire home/apt,150,1,29,3.32,360
9664497,Room in Modern Brooklyn Apartment,Brooklyn,Bushwick,40.70433,-73.92652,Private room,55,3,6,0.14,0
15099669,Lower East Side large 1 bedroom,Manhattan,Lower East Side,40.71975,-73.98608,Entire home/apt,225,1,2,0.06,0
10586622,Beautiful Apt w/ rooftop view,Brooklyn,Park Slope,40.67225,-73.97357,Entire home/apt,160,5,16,0.4,11
33014,NYC Zen,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,0.28,248
19459965,HOUSE 2 ENTRANCES 2 KITCHEN 2 BATH 15min TO MANHTN,Queens,Forest Hills,40.73437,-73.8502,Entire home/apt,278,3,9,0.39,0
19625234,"纽约三室一厅两全浴带独立厨房和停车位
Three-Room Two Bath and Parking",Queens,Flushing,40.76818,-73.8276,Entire home/apt,188,1,85,3.52,151
17554541,Delightful Brooklyn townhouse,Brooklyn,Park Slope,40.68326,-73.97796,Entire home/apt,600,6,7,0.36,42
23106220,1min from the station K size bed 20min toManhattan,Brooklyn,Bedford-Stuyvesant,40.68928,-73.95541,Private room,70,1,53,3.29,264
15819933,Gorgeous Spacious Bedroom In Ridgewood Queens,Queens,Ridgewood,40.70735,-73.89343,Private room,20,7,0,0.0,89
26534838,Large Studio in the heart of West Village,Manhattan,West Village,40.73429,-74.00487,Entire home/apt,150,3,6,0.52,0
16027312,"Upper Eastside Studio, Walk to Central Park",Manhattan,Upper East Side,40.7806,-73.95178,Entire home/apt,155,21,9,0.28,0
33897838,NEW- Sunny and Modern Cobble Hill 1 Bedroom,Brooklyn,Cobble Hill,40.68834,-73.9989,Entire home/apt,170,2,5,2.31,43
8924552,Sunny 2 bedroom apartment!,Brooklyn,Greenpoint,40.73262,-73.95209,Entire home/apt,100,1,2,0.05,0
28135901,1br apt in Ditmars/Astoria,Queens,Ditmars Steinway,40.7787,-73.9093,Entire home/apt,100,4,2,0.19,26
16976215,Awesome Chelsea Manhattan Pad,Manhattan,Chelsea,40.7429,-73.99344,Private room,125,1,1,0.03,0
11486357,"Sunny Room, Hamilton Heights Section of Manhattan",Manhattan,Harlem,40.8285,-73.94889,Private room,87,1,2,0.23,332
16417951,Cozy modern sunny room for 2,Brooklyn,Crown Heights,40.67525,-73.93333,Private room,52,2,123,4.01,332
16207381,Airy 2-Bedroom Apt with Terrace in Spanish Harlem,Manhattan,East Harlem,40.79952,-73.93764,Entire home/apt,240,3,4,0.17,7
29359403,Cozy Sunny Harlem Studio,Manhattan,Harlem,40.82361,-73.93926,Entire home/apt,102,1,17,2.14,75
6386823,Cozy Manhattan room ★ 3 mins to subway,Manhattan,Washington Heights,40.83998,-73.94295,Private room,70,1,88,3.66,0
23917121,"Sunny, Spacious Bed Stuy Dream Apartment",Brooklyn,Bedford-Stuyvesant,40.6824,-73.93045,Entire home/apt,125,3,80,5.41,269
9635607,Suite Oasis - Luxurious & Cozy Apt,Brooklyn,Canarsie,40.6424,-73.91275,Entire home/apt,125,2,172,4.01,155
8506867,"Sunny, spacious UWS abode with view",Manhattan,Upper West Side,40.77799,-73.98205,Entire home/apt,220,1,2,0.05,0
5434197,Convenient Room Near Subway ABCD&1!,Manhattan,Harlem,40.81663,-73.95315,Private room,55,2,71,1.34,0
747159,sunny private room in east village,Manhattan,Gramercy,40.73158,-73.98303,Private room,120,4,132,1.62,267
35640448,"3 bedroom beautiful, cozy apt close to Times Sq.",Queens,Sunnyside,40.74174,-73.90817,Entire home/apt,179,1,1,1.0,321
26425032,Private Room in apartment (1),Brooklyn,Clinton Hill,40.6867,-73.9612,Private room,59,4,6,0.87,156
3580577,Park Slope beauty,Brooklyn,Sunset Park,40.66273,-73.99111,Entire home/apt,100,4,25,1.11,0
33618213,Clean and quiet Brooklyn room 35 mins from Soho,Brooklyn,Bedford-Stuyvesant,40.68898,-73.94139,Private room,50,10,1,0.77,246
5956257,Private Prospect Park Bed and Bath ,Brooklyn,Prospect-Lefferts Gardens,40.66149,-73.95222,Private room,60,1,0,0.0,0
29779937,**  2 Bedrooms in Central NYC! ***,Manhattan,Midtown,40.75175,-73.98499,Entire home/apt,295,28,4,0.51,147
34419094,Lovely  LIC-Lush garden-Midtown1stop-Breakfast,Queens,Long Island City,40.75314,-73.93644,Private room,89,1,9,4.5,357
24805679,A seriene space in Bushwick,Brooklyn,Bushwick,40.70447,-73.92589,Private room,70,4,2,0.14,363
35878481,"Home Away Home,NextDoor To Subway, Accommodates 10",Brooklyn,Bedford-Stuyvesant,40.68988,-73.95936,Entire home/apt,282,1,1,1.0,342
36222367,Garden flat in most artistic New York Bushwick,Brooklyn,Bushwick,40.70157,-73.92542,Entire home/apt,160,2,0,0.0,359
20710508,1 bedroom in East Village (private ensuite),Manhattan,East Village,40.72987,-73.98283,Private room,100,3,3,0.14,0
5061309,Sunny room in Bushwick; Minutes from subway!,Brooklyn,Bushwick,40.70171,-73.91344,Private room,60,1,155,3.39,170
17268111,Lighted Luxury Studio!,Queens,Forest Hills,40.72737,-73.85156,Entire home/apt,50,27,0,0.0,0
19175650,Private room and shared living room,Queens,Woodside,40.74505,-73.89995,Private room,80,2,11,0.45,10
5926953,"Modern, Cozy & Bright Private Room and Bathroom",Brooklyn,Fort Greene,40.69634,-73.97296,Private room,70,1,152,3.02,249
3802218,Cozy Private Bedroom,Bronx,Mott Haven,40.80772,-73.91791,Private room,53,1,321,5.46,44
4791964,Bohemian Retreat in Williamsburg,Brooklyn,Williamsburg,40.70973,-73.96056,Private room,100,1,0,0.0,0
9028527,Sunny duplex near Central Park,Manhattan,Harlem,40.80093,-73.95012,Entire home/apt,165,1,0,0.0,0
13431664,Private Condo Room w/ Patio,Bronx,Longwood,40.81937,-73.90978,Private room,45,2,68,1.83,156
16133101,Sunny Room in Bed Stuy Brooklyn,Brooklyn,Bedford-Stuyvesant,40.69512,-73.94978,Private room,75,2,55,1.95,0
33686419,Prime Williamsburg 2BR w/ NYC View -Long Term Only,Brooklyn,Williamsburg,40.71948,-73.96376,Entire home/apt,150,30,1,0.42,160
31149078,Sharing room for FEMALE #2,Brooklyn,Brighton Beach,40.5776,-73.96231,Shared room,30,1,1,1.0,364
1644133,Large Spacious Apt For Sublet,Brooklyn,East Flatbush,40.63205,-73.94587,Entire home/apt,90,1,5,0.08,361
30852793,Spacious Room with natural light in Forest Hill,Queens,Forest Hills,40.72223,-73.84647,Private room,37,1,1,0.16,249
35034032,Sonder | 116 John | Vibrant 1BR + Gym,Manhattan,Financial District,40.70861,-74.00479,Entire home/apt,137,29,0,0.0,347
9185696,Excellent 1 Bedroom Apt. in Queens,Queens,Queens Village,40.71846,-73.75584,Entire home/apt,75,5,85,1.9,332
21023888,Almost a Hotel Room // Cozy Private Room,Brooklyn,Bushwick,40.69835,-73.91644,Private room,50,2,57,2.68,18
5885101,one large private bedroom/ two bedroom apartment,Brooklyn,Williamsburg,40.70217,-73.93737,Private room,60,4,3,0.09,25
12411380,Small Bedroom Steps From the 1 Train,Manhattan,Harlem,40.82088,-73.95628,Private room,50,2,12,0.31,0
27552471,Best Brighton Beach welcoming for your stay!,Brooklyn,Brighton Beach,40.57762,-73.96051,Entire home/apt,99,2,2,0.19,0
298854,"Low$pacious in Williamsburg, Bklyn",Brooklyn,Williamsburg,40.71635,-73.94609,Private room,75,3,0,0.0,358
19914250,Close to all NYC! Perfect place and cozy room,Manhattan,Hell's Kitchen,40.75996,-73.99798,Private room,89,1,0,0.0,0
17545363,Modern Apartment Bayridge/Brooklyn- Sleeps 6,Brooklyn,Fort Hamilton,40.62067,-74.02942,Entire home/apt,150,5,4,1.9,312
22001233,NYC Gallery,Manhattan,Upper East Side,40.77995,-73.95621,Entire home/apt,150,3,0,0.0,0
21366948,"Best of the west! Sunny,quiet&huge! Ideal location",Manhattan,Upper West Side,40.78584,-73.97342,Entire home/apt,350,5,31,1.54,166
14044731,One bedroom apartment for rent in West Harlem,Manhattan,Harlem,40.82287,-73.9518,Private room,38,7,2,0.06,0
34483427,Mesmerizing Central Park View Awaits You!,Manhattan,Midtown,40.76471,-73.97454,Private room,475,1,0,0.0,361
6196265,Charming House in Astoria,Queens,Ditmars Steinway,40.7802,-73.90913,Entire home/apt,150,7,1,0.02,0
2908417,Huge Room in Brooklyn Loft,Brooklyn,Bedford-Stuyvesant,40.69924,-73.94057,Private room,42,7,6,0.1,0
24464665,Spacious private bedroom with high ceilings,Brooklyn,Bedford-Stuyvesant,40.68869,-73.93449,Private room,35,20,1,0.08,0
27527902,Cozy 1 bedroom apartment in trendy Bushwick.,Brooklyn,Bushwick,40.6944,-73.9242,Entire home/apt,90,3,26,2.43,3
10576498,Cozy Room in an Eclectic Vintage Styled Apt.,Brooklyn,Bushwick,40.69349,-73.91109,Private room,50,1,9,0.92,179
8276819,International Meeting Place_Room 3•,Brooklyn,Flatlands,40.62841,-73.92591,Private room,130,4,3,0.07,364
15927523,Newly renovated ground floor apt in Williamsburg,Brooklyn,Williamsburg,40.71463,-73.96474,Entire home/apt,250,2,53,1.68,2
15984905,Single room 2 (4R),Manhattan,Harlem,40.80762,-73.94446,Private room,50,30,5,0.16,151
14520743,SPACIOUS room TIME SQUARE,Manhattan,Hell's Kitchen,40.76106,-73.99148,Private room,95,1,23,0.66,0
2349737,NYC Apt - Close to Metro & Mnhtn,Queens,Rego Park,40.73243,-73.86773,Entire home/apt,275,30,9,0.14,342
20760274,"New Building w/ Rooftop & Laundry, Cozy Room",Brooklyn,Bedford-Stuyvesant,40.67927,-73.94758,Private room,88,4,1,0.05,0
19691986,Beautiful Comfortable Historic Brownstone,Manhattan,Harlem,40.80832,-73.95275,Private room,115,2,93,3.92,129
18254314,"St. Marks, East Village penthouse loft w/ patio!",Manhattan,East Village,40.72842,-73.98679,Private room,140,4,11,0.42,0
23041312,Sky Boasts Exquisite Studio,Manhattan,Hell's Kitchen,40.76208,-73.99932,Entire home/apt,525,3,0,0.0,0
19691853,Perfect 1 bedroom for short or extended stay.,Manhattan,Harlem,40.81143,-73.94935,Entire home/apt,100,3,16,0.66,0
1533652,Charming Central Park Studio: Summer Park Strolls!,Manhattan,Upper West Side,40.78357,-73.97268,Entire home/apt,121,7,76,1.11,151
24541992,Quaint Studio in FiDi by Sonder,Manhattan,Financial District,40.70558,-74.00845,Entire home/apt,175,29,1,0.45,290
35604423,Battery Park Studio with a View,Manhattan,Financial District,40.70417,-74.01511,Entire home/apt,200,9,0,0.0,15
16390662,room with view and bath,Queens,Flushing,40.7408,-73.82708,Private room,35,1,0,0.0,0
13898236,2 Floor Condo in Williamsburg with Pvt Terrace,Brooklyn,Williamsburg,40.71684,-73.94578,Entire home/apt,250,1,0,0.0,0
18517584,Amazing 2-bdrm apartment in Greenpoint with garden,Brooklyn,Greenpoint,40.72215,-73.94203,Entire home/apt,137,4,0,0.0,0
21733510,Beautiful 1 bedroom in bedstuy,Brooklyn,Bedford-Stuyvesant,40.67984,-73.95044,Entire home/apt,120,11,8,0.42,189
35533434,Upscale Deluxe Queen Hotel Room in Soho!,Manhattan,SoHo,40.7207,-74.00034,Private room,100,1,0,0.0,353
406926,Nolita apt. with private garden,Manhattan,Nolita,40.7234,-73.99439,Entire home/apt,269,28,81,0.93,122
16179862,Clean and Comfy Private Bedroom,Brooklyn,Bedford-Stuyvesant,40.68367,-73.95101,Private room,75,1,0,0.0,0
31498735,NEW Perfect private room near Two Bridges IV,Manhattan,Lower East Side,40.7096,-73.98703,Private room,71,15,0,0.0,185
20137576,Room in a charming and spacious apartment in DUMBO,Brooklyn,Vinegar Hill,40.70149,-73.98091,Private room,69,5,5,0.22,166
31918252,Private Bedroom & Living Room in Sunny Apt,Brooklyn,Gowanus,40.66938,-73.99164,Private room,95,1,4,0.93,59
22281854,2 Queen Beds in Private bedroom Safe neighborhood,Queens,Forest Hills,40.72761,-73.84109,Private room,83,1,25,1.35,361
19948618,Amazing studio step away from Time Square/54B,Manhattan,Hell's Kitchen,40.76309,-73.99214,Entire home/apt,130,30,7,0.34,311
13072490,Large apartment in charming neighborhood,Brooklyn,Greenpoint,40.73046,-73.95706,Entire home/apt,165,3,8,0.22,0
2157550,"2BD True Loft, Hip & Artsy Location",Brooklyn,Bushwick,40.70751,-73.92058,Entire home/apt,130,5,9,0.18,0
11544438,Clean Room in Prime Hip LES,Manhattan,Lower East Side,40.71713,-73.98906,Private room,65,1,14,0.35,0
3378404,WHOLE LARGE 1-BEDROOM APARTMENT,Manhattan,Washington Heights,40.85304,-73.93555,Entire home/apt,88,2,0,0.0,0
16487967,Private Room in 4BR Modern Manhattan Apartment,Manhattan,Upper West Side,40.80347,-73.96607,Private room,38,3,1,0.03,0
12902686,BayRidge Brooklyn Apartment,Brooklyn,Fort Hamilton,40.61707,-74.03473,Entire home/apt,110,1,1,0.03,0
1156499,MODERN/ SUBWAY/TERRACE/LOFT/ LARGE MASTER BEDROOM,Brooklyn,Greenpoint,40.72897,-73.95132,Private room,152,5,13,0.17,241
19714903,Charming One Bedroom Apt in West Chelsea,Manhattan,Chelsea,40.74862,-74.00237,Entire home/apt,150,2,1,0.41,0
33515695,Private Room near to Manhattan,Queens,Astoria,40.76799,-73.90995,Private room,65,1,6,1.96,31
35966672,Iconic Tribeca Loft,Manhattan,Tribeca,40.71878,-74.00491,Entire home/apt,380,5,0,0.0,73
30387788,"Dapper Times Square 1BR w/ Indoor pool, Gym by Blueground",Manhattan,Theater District,40.76139,-73.98521,Entire home/apt,276,30,0,0.0,206
9756258,Room for Female-Upper West Side,Manhattan,Upper West Side,40.78641,-73.97739,Private room,65,1,2,0.05,0
24632590,"Apt near ferry,verrazano brdg, RUMC,buses NYC wifi",Staten Island,Tompkinsville,40.6326,-74.09099,Entire home/apt,199,1,36,2.51,171
22563782,Sunny Studio in Greenpoint - Private Bath/Kitchen,Brooklyn,Greenpoint,40.72188,-73.94355,Private room,150,3,8,0.48,27
367042,Eastern Parkway Brooklyn 1BR Flat,Brooklyn,Crown Heights,40.66847,-73.94875,Entire home/apt,125,5,1,0.02,0
16569554,Bright room Williamsburg off Bedford,Brooklyn,Williamsburg,40.71681,-73.96296,Private room,69,2,10,0.34,0
23900717,Wyndham Midtown 45 (2 Bedroom Presidential) 9A,Manhattan,Midtown,40.75181,-73.97137,Entire home/apt,339,3,34,2.26,0
22292865,"BEDSTUY BK - PAD
SHORT/ LONG TERM STAYS
NO EVENTS",Brooklyn,Bedford-Stuyvesant,40.68644,-73.93967,Entire home/apt,150,1,50,2.96,335
23584507,♥Private Master Bath | Express Train+Free Parking☆,Brooklyn,East New York,40.67563,-73.87866,Entire home/apt,86,1,154,9.53,311
28565575,Central & Cozy Brooklyn Home,Brooklyn,East New York,40.67111,-73.87083,Entire home/apt,160,2,22,2.38,48
23920657,Private Confortable Queen size Bedroom in UES.,Manhattan,Upper East Side,40.77038,-73.95273,Private room,105,5,2,0.14,342
14176286,Unique Cozy Designer Loft 1 stop to Manhattan,Brooklyn,Greenpoint,40.72521,-73.95575,Private room,67,2,103,2.94,126
21965717,Spacious South Slope Apt in Perfect Location!,Brooklyn,South Slope,40.66724,-73.99023,Private room,109,2,4,0.21,0
32291826,Charming Bedroom in Quintessential Brooklyn Home,Brooklyn,Williamsburg,40.71751,-73.94474,Private room,80,1,0,0.0,0
29835159,Bright and Comfortable Home in Brooklyn,Brooklyn,Prospect Heights,40.68162,-73.96818,Entire home/apt,149,2,8,1.0,0
32740475,Sonder | The Nash | Cozy Studio + Grilling Area,Manhattan,Murray Hill,40.74835,-73.97612,Entire home/apt,244,2,9,2.31,133
13151072,Apartment in a heart of NY,Manhattan,Hell's Kitchen,40.75989,-73.98832,Entire home/apt,70,2,112,2.97,11
30348624,Better Home Inn,Queens,Springfield Gardens,40.66272,-73.76849,Entire home/apt,89,1,88,12.05,253
9976190,Two Bedroom Apartment,Manhattan,East Village,40.72537,-73.99054,Entire home/apt,250,2,0,0.0,0
26022104,Cosy condo in Williamsburg with amazing rooftop,Brooklyn,Williamsburg,40.71552,-73.94263,Private room,110,2,0,0.0,0
22232425,1 Bedroom with a lot of Sunshine,Manhattan,Harlem,40.80639,-73.94834,Entire home/apt,82,2,0,0.0,0
29917648,Perfect Studio apartment in heart of Sheepsheadbay,Brooklyn,Midwood,40.61429,-73.94779,Entire home/apt,88,2,0,0.0,89
29251636,LUXURY Brooklyn Brownstone 1 block from train,Brooklyn,Bay Ridge,40.63093,-74.02363,Entire home/apt,175,1,27,3.07,276
19699218,"Clean, Big, Sunny Room in Little Italy/Chinatown!",Manhattan,Chinatown,40.71353,-73.99632,Private room,115,2,18,0.74,0
7866421,"Big Sunny Room in BedStuy, Brooklyn",Brooklyn,Bedford-Stuyvesant,40.68506,-73.93867,Private room,36,2,6,0.13,0
11085352,"Amazing Williamsburg, Brooklyn Apt.",Brooklyn,Williamsburg,40.70925,-73.94909,Private room,50,1,0,0.0,0
29336922,LUXURY 2BR CONDO APT IN THE HEART OF BROOKLYN,Brooklyn,Bath Beach,40.60319,-73.99591,Entire home/apt,150,1,13,1.54,0
26274952,Entire Apartment in House! 20mins to FREE ferry!,Staten Island,Concord,40.60307,-74.08441,Entire home/apt,100,1,25,5.64,72
7818701,Brooklyn Studio near ALL subways,Brooklyn,Fort Greene,40.68854,-73.97789,Entire home/apt,85,2,4,0.13,0
12095636,Sunny Artesian apartment,Brooklyn,Bushwick,40.69993,-73.92504,Private room,90,2,6,0.15,358
34744587,"HARLEM: Renovated, Cozy. 15min train to Times Sq",Manhattan,Harlem,40.81151,-73.94159,Private room,57,2,1,1.0,34
27356337,Bright & Bohemian UES 1 BR - Whole Apt!,Manhattan,Upper East Side,40.76841,-73.95402,Entire home/apt,180,2,23,2.04,2
9475136,Williamsburg Room & Private Bath,Brooklyn,Williamsburg,40.71642,-73.95298,Private room,90,1,0,0.0,0
22174455,Adorable Hamilton Heights Apartment,Manhattan,Harlem,40.82434,-73.95066,Entire home/apt,200,3,14,0.73,0
